4286:   ./test2
Address           Kbytes Mode  Offset           Device    Mapping
0000000000400000       4 r-x-- 0000000000000000 000:0001c test2
0000000000600000       4 r---- 0000000000000000 000:0001c test2
0000000000601000       4 rw--- 0000000000001000 000:0001c test2
00007f5d156af000    1772 r-x-- 0000000000000000 008:00007 libc-2.19.so
00007f5d1586a000    2044 ----- 00000000001bb000 008:00007 libc-2.19.so
00007f5d15a69000      16 r---- 00000000001ba000 008:00007 libc-2.19.so
00007f5d15a6d000       8 rw--- 00000000001be000 008:00007 libc-2.19.so
00007f5d15a6f000      20 rw--- 0000000000000000 000:00000   [ anon ]
00007f5d15a74000     140 r-x-- 0000000000000000 008:00007 ld-2.19.so
00007f5d15c68000      12 rw--- 0000000000000000 000:00000   [ anon ]
00007f5d15c93000      12 rw--- 0000000000000000 000:00000   [ anon ]
00007f5d15c96000       4 r---- 0000000000022000 008:00007 ld-2.19.so
00007f5d15c97000       4 rw--- 0000000000023000 008:00007 ld-2.19.so
00007f5d15c98000       4 rw--- 0000000000000000 000:00000   [ anon ]
00007fffcb12b000     132 rw--- 0000000000000000 000:00000   [ pilha ]
00007fffcb1b0000       8 r---- 0000000000000000 000:00000   [ anon ]
00007fffcb1b2000       8 r-x-- 0000000000000000 000:00000   [ anon ]
ffffffffff600000       4 r-x-- 0000000000000000 000:00000   [ anon ]
mapeado: 4200K    gravável/privado: 196K    compartilhado: 0K
